Province,Sum_Active_Cases
Jawa Barat,13496
DKI Jakarta,10922
Banten,2558
Jawa Tengah,1423
Jawa Timur,1136
Daerah Istimewa Yogyakarta,669
Sumatera Utara,664
Sulawesi Utara,565
Bali,474
Sumatera Selatan,313
Kalimantan Timur,272
Papua,237
Lampung,226
Riau,224
Kalimantan Tengah,220
Sumatera Barat,204
Kalimantan Selatan,153
Sulawesi Selatan,153
Papua Barat,137
Kepulauan Riau,130
Kalimantan Barat,106
Aceh,103
Nusa Tenggara Timur,102
Sulawesi Tengah,90
Jambi,77
Kepulauan Bangka Belitung,73
Maluku,49
Bengkulu,34
Sulawesi Tenggara,34
Gorontalo,31
Kalimantan Utara,27
Nusa Tenggara Barat,15
Maluku Utara,14
Sulawesi Barat,6
