bulan,tahun,kode_trayek,trayek,jumlah_penumpang,jenis
Januari,2019,1,KORIDOR 1,2223257,Bus Rapid Transit
Februari,2019,1,KORIDOR 1,1992685,Bus Rapid Transit
Maret,2019,1,KORIDOR 1,2334201,Bus Rapid Transit
April,2019,1,KORIDOR 1 (BLOK M - KOTA),2207527,Bus Rapid Transit
Mei ,2019,1,KORIDOR 1 (BLOK M - KOTA),2.031.443,Bus Rapid Transit
Juni,2019,1,KORIDOR 1 (BLOK M - KOTA),2.042.807,Bus Rapid Transit
Juli,2019,1,KORIDOR 1 (BLOK M - KOTA),2.612.456,Bus Rapid Transit
Agustus,2019,1,KORIDOR 1 (BLOK M - KOTA),2.436.733,Bus Rapid Transit
September,2019,1,KORIDOR 1 (BLOK M - KOTA),2.491.625,Bus Rapid Transit
Oktober,2019,1,KORIDOR 1 (BLOK M - KOTA),2.491.625,Bus Rapid Transit
November,2019,1,KORIDOR 1 (BLOK M - KOTA),2.533.287,Bus Rapid Transit
Desember,2019,1,KORIDOR 1 (BLOK M - KOTA),"2,686,458",Bus Rapid Transit
Januari,2019,2,KORIDOR 2,781605,Bus Rapid Transit
Februari,2019,2,KORIDOR 2,689898,Bus Rapid Transit
Maret,2019,2,KORIDOR 2,792477,Bus Rapid Transit
April,2019,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),752528,Bus Rapid Transit
Mei ,2019,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),785.449,Bus Rapid Transit
Juni,2019,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),715.613,Bus Rapid Transit
Juli,2019,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),921.613,Bus Rapid Transit
Agustus,2019,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),889.636,Bus Rapid Transit
September,2019,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),901.232,Bus Rapid Transit
Oktober,2019,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),901.232,Bus Rapid Transit
November,2019,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),938.282,Bus Rapid Transit
Desember,2019,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),"936,927",Bus Rapid Transit
Januari,2019,3,KORIDOR 3,919.2,Bus Rapid Transit
Februari,2019,3,KORIDOR 3,849307,Bus Rapid Transit
Maret,2019,3,KORIDOR 3,969851,Bus Rapid Transit
April,2019,3,KORIDOR 3 (KALIDERES - PASAR BARU),917.72,Bus Rapid Transit
Mei ,2019,3,KORIDOR 3 (KALIDERES - PASAR BARU),928.185,Bus Rapid Transit
Juni,2019,3,KORIDOR 3 (KALIDERES - PASAR BARU),838.896,Bus Rapid Transit
Juli,2019,3,KORIDOR 3 (KALIDERES - PASAR BARU),1.045.636,Bus Rapid Transit
Agustus,2019,3,KORIDOR 3 (KALIDERES - PASAR BARU),1.044.886,Bus Rapid Transit
September,2019,3,KORIDOR 3 (KALIDERES - PASAR BARU),1.084.451,Bus Rapid Transit
Oktober,2019,3,KORIDOR 3 (KALIDERES - PASAR BARU),1.084.451,Bus Rapid Transit
November,2019,3,KORIDOR 3 (KALIDERES - PASAR BARU),1.153.406,Bus Rapid Transit
Desember,2019,3,KORIDOR 3 (KALIDERES - PASAR BARU),"1,127,029",Bus Rapid Transit
Januari,2019,4,KORIDOR 4,669417,Bus Rapid Transit
Februari,2019,4,KORIDOR 4,571404,Bus Rapid Transit
Maret,2019,4,KORIDOR 4,719166,Bus Rapid Transit
April,2019,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),672542,Bus Rapid Transit
Mei ,2019,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),698.444,Bus Rapid Transit
Juni,2019,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),613.074,Bus Rapid Transit
Juli,2019,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),809.767,Bus Rapid Transit
Agustus,2019,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),765.042,Bus Rapid Transit
September,2019,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),855.969,Bus Rapid Transit
Oktober,2019,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),855.969,Bus Rapid Transit
November,2019,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),917.17,Bus Rapid Transit
Desember,2019,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),"784,864",Bus Rapid Transit
Januari,2019,5,KORIDOR 5,890939,Bus Rapid Transit
